english,russian,transcription,example,category,level
long-term,долгосрочный,[ˈlɒŋtɜːm],This long-term requires attention,Описания,B2
junior,младший,[ˈʤuːnjə],The junior deserves recognition,Описания,A2
brief,краткий,[briːf],Every brief contains wisdom,Описания,A2
immediate,немедленный,[ɪˈmiːdjət],The immediate provides comfort,Описания,B2
constant,постоянный,[ˈkɒnstənt],A beautiful constant emerged,Описания,B1
permanent,постоянный,[ˈpɜːmənənt],The powerful permanent transformed lives,Описания,B2
regular,регулярный,[ˈrɛgjʊlə],The delicate regular needs care,Описания,B1
ongoing,продолжающийся,[ˈɒŋˌgəʊɪŋ],This unique ongoing stands out,Описания,B1
sudden,внезапный,[ˈsʌdn],The sudden is absolutely essential,Описания,A2
similar,похожий,[ˈsɪmɪlə],My similar needs replacing soon,Описания,B1
other,другой,[ˈʌðə],Her other caught everyone's attention,Описания,A2
different,другой,[ˈdɪfrənt],This different belongs to my friend,Описания,A2
various,различные,[ˈveərɪəs],Every various tells its own story,Описания,B1
general,общий,[ˈʤɛnərəl],The general arrived right on time,Описания,B1
special,особенный,[ˈspɛʃəl],Our special has seen better days,Описания,A2
specific,конкретный,[spɪˈsɪfɪk],Your specific is quite impressive,Описания,B1
only,единственный,[ˈəʊnli],Their only costs a fortune,Описания,A1
final,окончательный,[ˈfaɪnl],A good final makes all the difference,Описания,A2
average,средний,[ˈævərɪʤ],The best average I've ever seen,Описания,B1
unique,уникальный,[juːˈniːk],That unique reminds me of home,Описания,A2
equal,равный,[ˈiːkwəl],This equal comes from abroad,Описания,A2
typical,типичный,[ˈtɪpɪk(ə)l],The old typical still works perfectly,Описания,B1
standard,стандартный,[ˈstændəd],A new standard would be nice,Описания,B1
rare,редкий,[reə],The rare broke down yesterday,Описания,A1
separate,отдельный,[ˈsɛprɪt],My favorite separate is missing,Описания,B1
common,общий,[ˈkɒmən],Her common won first prize,Описания,A2
multiple,многочисленные,[ˈmʌltɪpl],The multiple speaks for itself,Описания,B1
basic,базовый,[ˈbeɪsɪk],Every basic has its purpose,Описания,A2
complete,полный,[kəmˈpliːt],The complete exceeded expectations,Описания,B1
diverse,разнообразный,[daɪˈvɜːs],Our diverse brings joy daily,Описания,B1
classic,классический,[ˈklæsɪk],That classic holds special meaning,Описания,B1
universal,универсальный,[ˌjuːnɪˈvɜːsəl],The universal represents hope,Описания,B2
new,новый,[njuː],This new symbolizes freedom,Описания,A1
good,хороший,[gʊd],A rare good was discovered,Описания,A1
great,великий,[greɪt],The ancient great survived centuries,Описания,A2
bad,плохой,[bæd],The modern bad is innovative,Описания,A1
best,лучший,[bɛst],A perfect best is hard to find,Описания,A1
used,использованный,[juːzd],The used inspires creativity,Описания,A1
original,оригинальный,[əˈrɪʤənl],Our original promotes unity,Описания,B1
normal,нормальный,[ˈnɔːməl],The normal offers opportunities,Описания,A2
useful,полезный,[ˈjuːsfʊl],This useful requires attention,Описания,A2
proper,тщательный,[ˈprɒpə],The proper deserves recognition,Описания,A2
weak,слабый,[wiːk],Every weak contains wisdom,Описания,A2
excellent,отличный,[ˈɛksələnt],The excellent provides comfort,Описания,A2
extreme,экстремальный,[ɪksˈtriːm],A beautiful extreme emerged,Описания,B1
conventional,обычный,[kənˈvɛnʃənl],The powerful conventional transformed lives,Описания,C1
super,супер,[ˈs(j)uːpə],The delicate super needs care,Описания,A2
odd,странный,[ɒd],This unique odd stands out,Описания,A1
simple,простой,[ˈsɪmpl],The simple is absolutely essential,Описания,A2
intense,интенсивный,[ɪnˈtɛns],My intense needs replacing soon,Описания,B1
perfect,идеальный,[ˈpɜːfɪkt],Her perfect caught everyone's attention,Описания,A2
ideal,идеальный,[aɪˈdɪəl],This ideal belongs to my friend,Описания,A2
effective,эффективный,[ɪˈfɛktɪv],Every effective tells its own story,Описания,B2
high,высокий,[haɪ],The high arrived right on time,Описания,A1
big,большой,[bɪg],Our big has seen better days,Описания,A1
small,маленький,[smɔːl],Your small is quite impressive,Описания,A1
large,большой,[lɑːʤ],Their large costs a fortune,Описания,A2
long,длинный,[lɒŋ],A good long makes all the difference,Описания,A1
little,маленький,[ˈlɪtl],The best little I've ever seen,Описания,A2
low,низкий,[ləʊ],That low reminds me of home,Описания,A1
short,короткий,[ʃɔːt],This short comes from abroad,Описания,A1
huge,огромный,[hjuːʤ],The old huge still works perfectly,Описания,A1
wide,широкий,[waɪd],A new wide would be nice,Описания,A1
tiny,крошечный,[ˈtaɪni],The tiny broke down yesterday,Описания,A1
broad,широкий,[brɔːd],My favorite broad is missing,Описания,A2
tall,высокий,[tɔːl],Her tall won first prize,Описания,A1
thin,тонкий,[θɪn],The thin speaks for itself,Описания,A1
thick,толстый,[θɪk],Every thick has its purpose,Описания,A2
increased,увеличившийся,[ɪnˈkriːst],The increased exceeded expectations,Описания,B2
enormous,громадный,[ɪˈnɔːməs],Our enormous brings joy daily,Описания,B1
massive,массивный,[ˈmæsɪv],That massive holds special meaning,Описания,B1
narrow,узкий,[ˈnærəʊ],The narrow represents hope,Описания,A2
straight,прямой,[streɪt],This straight symbolizes freedom,Описания,B1
giant,гигантский,[ˈʤaɪənt],A rare giant was discovered,Описания,A2
flat,плоский,[flæt],The ancient flat survived centuries,Описания,A1
square,квадратный,[skweə],The modern square is innovative,Описания,A2
tremendous,огромный,[trɪˈmɛndəs],A perfect tremendous is hard to find,Описания,B2
round,круглый,[raʊnd],The round inspires creativity,Описания,A2
prominent,заметный,[ˈprɒmɪnənt],Our prominent promotes unity,Описания,B2
clear,ясный,[klɪə],The clear offers opportunities,Описания,A2
open,открытый,[ˈəʊpən],This open requires attention,Описания,A1
hot,горячий,[hɒt],The hot deserves recognition,Описания,A1
cold,холодный,[kəʊld],Every cold contains wisdom,Описания,A1
heavy,тяжелый,[ˈhɛvi],The heavy provides comfort,Описания,A2
tough,жесткий,[tʌf],A beautiful tough emerged,Описания,A2
powerful,мощный,[ˈpaʊəfʊl],The powerful powerful transformed lives,Описания,B1
